Country Name,Country Code,1992,1995,1996,1997,AVG,2000,2001,2002,AVG,2005,2006,2007,AVG
Aruba,ABW,-,,,,0,,,,0,,,,0
Andorra,AND,-,5.80799984,6.09433321,6.14492202,6.01575169,5.78129974,5.78874692,5.97260274,5.8475498,5.22335314,5.31389324,6.33545578,5.624234053
Afghanistan,AFG,-,,,,0,,,7.76307316,2.587691053,8.31028776,8.16559739,7.60510651,8.02699722
Angola,AGO,-,6.45887795,2.81473208,3.4825593,4.252056443,2.78728366,5.38455772,3.63392075,3.935254043,4.10396002,4.54243749,3.38311163,4.00983638
Albania,ALB,-,6.59707903,7.43197435,7.56809993,7.199051103,6.2559844,6.00014389,6.30011348,6.185413923,6.11631076,5.86129625,6.10393525,6.027180753
Arab World,ARB,-,3.70097138,3.692580537,3.862956146,3.752169354,4.119625226,4.3905881,4.412833578,4.307682301,3.572005473,3.522180754,3.622538614,3.572241614
United Arab Emirates,ARE,-,2.63613172,2.45902483,2.48706386,2.527406803,2.37999034,2.48427471,2.71758304,2.527282697,2.32021865,2.32534364,2.56564188,2.403734723
Argentina,ARG,-,8.31099274,8.02499359,8.36136161,8.232449313,9.21275669,9.37589012,8.31392968,8.967525497,6.84561938,6.68187054,6.49458405,6.674024657
Armenia,ARM,-,6.41873606,5.7907572,5.76758904,5.992360767,6.25348348,5.94041648,5.40041921,5.864773057,5.25211644,4.57775072,4.30883082,4.712899327
American Samoa,ASM,-,,,,0,,,,0,,,,0
Antigua and Barbuda,ATG,-,4.1436129,3.92096985,3.93930715,4.001296633,4.12504853,4.48439049,4.41378705,4.341075357,4.41010035,4.34002161,4.26972324,4.3399484
Australia,AUS,-,7.25973523,7.44304741,7.49922799,7.40067021,8.07814515,8.17867869,8.39043833,8.215754057,8.45389263,8.49118995,8.5306305,8.49190436
Austria,AUT,-,9.54702427,9.52730055,9.8252159,9.63318024,10.06456722,10.11903601,10.27003327,10.15121217,10.53141508,10.35154773,10.40127692,10.42807991
Azerbaijan,AZE,-,5.79187601,6.12391391,5.45197597,5.789255297,4.67081301,4.48244097,4.46710558,4.540119853,7.8639081,6.16806759,5.09525293,6.375742873
Burundi,BDI,-,4.3744822,4.49703909,4.11362695,4.328382747,4.97839061,4.96067407,5.15367588,5.03091352,9.83776739,11.49013252,10.02676743,10.45155578
Belgium,BEL,-,7.61132513,7.91027712,7.76548243,7.76236156,8.12059728,8.29205205,8.46176755,8.291472293,9.24428757,9.17112797,9.25207442,9.222496653
Benin,BEN,-,4.69268216,4.58649677,4.31179803,4.530325653,4.33873071,4.68672761,4.27443185,4.433296723,4.73384847,4.75046608,4.54583981,4.67671812
Burkina Faso,BFA,-,4.90774616,5.13518327,5.12841993,5.057116453,5.05909906,4.85203751,5.26139343,5.05751,6.87238586,6.57889926,6.62938957,6.69355823
Bangladesh,BGD,-,3.22157662,2.96373618,2.25028592,2.81186624,2.32679549,2.46995061,2.59288743,2.463211177,2.67725039,2.79623022,2.79895606,2.75747889
Bulgaria,BGR,-,4.75327488,4.57258827,4.74160776,4.68915697,6.06955519,7.23446648,7.40609292,6.90337153,7.07978092,6.6734753,6.41034419,6.721200137
Bahrain,BHR,-,4.11287292,4.03746857,4.34798137,4.16610762,3.50896583,3.79531921,3.89413936,3.732808133,3.15804988,3.07675509,3.07767478,3.104159917
Bahamas,BHS,-,6.8503937,6.91604323,5.55011883,6.43885192,5.20817529,5.14618628,5.25568411,5.20334856,5.95416502,6.93251788,7.07559268,6.65409186
Bosnia and Herzegovina,BIH,-,9.02980068,10.22157282,8.12932882,9.126900773,7.08827392,7.16021767,7.01047901,7.086323533,8.49615182,8.28337432,8.37007608,8.38320074
Belarus,BLR,-,6.74025354,6.23562466,6.59252515,6.522801117,6.12884845,6.62474592,6.47012421,6.407906193,6.88634578,6.33679804,6.43772703,6.553623617
Belize,BLZ,-,4.24602899,3.63127017,3.92015182,3.93248366,3.97615331,4.50244268,4.37927042,4.28595547,4.45271318,4.40074319,4.76058357,4.538013313
Bermuda,BMU,-,,,,0,,,,0,,,,0
Bolivia (Plurinational State of),BOL,-,3.72938541,4.62820984,4.1695752,4.175723483,5.66983151,6.31154371,6.52937179,6.170249003,5.66626332,5.19483534,4.96364424,5.2749143
Brazil,BRA,-,6.51076042,6.70694533,6.69245518,6.63672031,7.02774504,7.19063692,7.13005982,7.11614726,8.26702693,8.35570723,8.28058988,8.301108013
Barbados,BRB,-,5.21222112,5.06553288,5.10668175,5.12814525,5.15515307,5.47182997,5.76189211,5.462958383,5.37770788,5.27479782,5.63907522,5.430526973
Brunei Darussalam,BRN,-,2.96502086,3.72384445,3.73573354,3.474866283,3.05392326,3.05915827,3.03624423,3.049775253,2.62469019,2.24345194,2.31773158,2.395291237
Bhutan,BTN,-,3.97733171,6.31150093,7.3507957,5.879876113,6.91231672,5.91345001,7.75160507,6.859123933,5.28092275,5.26868823,5.87866065,5.476090543
Botswana,BWA,-,4.07625751,4.03790507,4.29532105,4.136494543,4.64378253,5.72932944,6.47357061,5.61556086,5.62371187,4.92953585,4.71306526,5.088770993
Central African Republic,CAF,-,3.60367411,4.49230966,3.58946373,3.895149167,4.23554071,3.94971705,4.16499024,4.116749333,4.29009912,3.98872906,4.04420573,4.10767797
Canada,CAN,-,8.86134848,8.63665594,8.60408832,8.70069758,8.66856172,9.09586921,9.36996095,9.044797293,9.57259884,9.75077613,9.834884,9.719419657
Central Europe and the Baltics,CEB,-,5.836319139,5.984446951,5.835576808,5.885447633,5.978339501,6.158684282,6.452844679,6.196622821,6.689862618,6.559107947,6.528622478,6.592531014
Switzerland,CHE,-,9.33430835,9.71518238,9.66982037,9.5731037,9.90805016,10.28167391,10.60657136,10.26543181,10.86294204,10.38772207,10.20985654,10.48684022
Channel Islands,CHI,-,,,,0,,,,0,,,,0
Chile,CHL,-,5.15357961,5.65542143,5.77650605,5.528502363,6.39554049,6.50868916,6.47573804,6.45998923,6.69119625,6.18107636,6.34524532,6.40583931
China,CHN,-,3.52548646,3.78557264,4.0245977,3.778552267,4.59690987,4.55782328,4.78507297,4.64660204,4.65846996,4.52241742,4.31833293,4.499740103
Côte d'Ivoire,CIV,-,6.36900793,6.74057936,7.06619884,6.725262043,6.00117587,4.84648676,4.46676932,5.10481065,5.3896073,5.87099688,6.34588449,5.868829557
Cameroon,CMR,-,3.86124181,5.16760946,4.64471655,4.55785594,4.47926062,4.70069873,4.86311777,4.681025707,4.75114245,4.68549975,4.75670352,4.73111524
"Congo, Rep.",COG,-,3.16306069,2.86291491,3.09868108,3.041552227,2.12504959,2.43633674,2.45276459,2.338050307,2.42171832,2.3727083,2.53770363,2.444043417
Colombia,COL,-,6.75685008,8.16065798,8.95554088,7.95768298,5.90658511,5.96000372,5.66898945,5.84519276,5.8158366,6.1117047,6.25336641,6.06030257
Comoros,COM,-,4.61334969,4.48025047,4.49258244,4.528727533,3.55560015,2.85941954,3.38792052,3.267646737,4.31649402,4.57135897,4.93045333,4.606102107
Cape Verde,CPV,-,5.28728442,4.82373976,4.73245519,4.947826457,4.81197137,5.18842561,5.17292778,5.05777492,4.85837167,5.11488034,4.30181632,4.75835611
Costa Rica,CRI,-,6.51231532,6.65078699,6.35054774,6.504550017,7.12411021,7.24688126,8.22565685,7.532216107,7.73973795,7.8231858,8.36985934,7.977594363
Caribbean small states,CSS,-,5.246886717,5.316682039,5.556231964,5.373266907,5.193549176,5.120107183,5.168028907,5.160561755,5.121700522,4.995270836,5.341448855,5.152806738
Cuba,CUB,-,5.15194347,5.2563626,5.49944414,5.302583403,6.0657218,6.27017609,6.49530818,6.27706869,9.39424353,7.67119625,10.41968483,9.161708203
Curacao,CUW,-,,,,0,,,,0,,,,0
Cayman Islands,CYM,-,,,,0,,,,0,,,,0
Cyprus,CYP,-,4.73555051,5.20546815,5.53045023,5.157156297,5.76878621,5.78263528,6.1236131,5.891678197,6.3690867,6.27810151,6.05253416,6.23324079
Czech Republic,CZE,-,6.6939823,6.4112513,6.40105384,6.502095813,6.31376242,6.42218784,6.79738309,6.511111117,6.93394326,6.69370303,6.522339,6.716661763
Germany,DEU,-,9.43119261,9.91390845,10.03394379,9.79301495,10.10314295,10.15409317,10.39990223,10.21904612,10.51754561,10.34100073,10.1804053,10.34631721
Djibouti,DJI,-,3.95089843,3.97202354,4.598152,4.173691323,5.75373964,5.37254273,5.44853384,5.524938737,7.21478463,7.05121762,7.72082465,7.3289423
Dominica,DMA,-,5.85107017,5.86916299,5.99052114,5.903584767,4.67680993,4.61495217,4.71101985,4.667593983,4.5907974,4.54040177,4.66781159,4.599670253
Denmark,DNK,-,8.12529118,8.21149933,8.15091135,8.162567287,8.69908954,9.10017962,9.33288751,9.044052223,9.7699606,9.92431629,9.98729401,9.893856967
Dominican Republic,DOM,-,5.2103532,5.01460052,5.26953146,5.164828393,5.90216851,5.59412454,5.78862837,5.761640473,4.26151651,4.34435286,4.34354051,4.31646996
Algeria,DZA,-,3.70152453,3.34906968,3.59465773,3.548417313,3.48902094,3.83786516,3.73006375,3.68564995,3.23516801,3.35511843,3.82141191,3.470566117
East Asia & Pacific (developing only),EAP,-,3.313227625,3.517533704,3.681609334,3.504123554,4.143165786,4.195876758,4.391976961,4.243673168,4.413995553,4.346679413,4.256601976,4.339092314
East Asia & Pacific (all income levels),EAS,-,5.839578469,5.680210126,5.821756835,5.780515143,6.48438493,6.548826144,6.559701173,6.530970749,6.647439459,6.493468688,6.319461912,6.48679002
Europe & Central Asia (developing only),ECA,-,4.168273474,4.333147247,4.584519783,4.361980168,5.100535224,5.295858192,5.556884729,5.317759382,5.772164194,5.811863564,5.879407342,5.821145033
Europe & Central Asia (all income levels),ECS,-,8.11722674,8.245043736,8.20485287,8.189041115,8.239000898,8.441669589,8.67886576,8.453178749,8.918822841,8.815870426,8.711756508,8.815483258
Ecuador,ECU,-,3.39863636,3.7410135,3.71706789,3.618905917,3.3786467,3.85795035,4.61526692,3.950621323,5.87295184,5.85722282,5.93693781,5.88903749
Egypt,EGY,-,3.53650574,3.8968055,4.6100914,4.014467547,5.55075125,5.75054527,5.96959135,5.756962623,5.06260429,5.23956984,4.95043355,5.08420256
Euro area,EMU,-,8.71312761,8.865801867,8.870142009,8.816357162,8.893023848,9.012688184,9.225724566,9.043812199,9.633664343,9.56154818,9.454315252,9.549842592
Eritrea,ERI,-,4.51436758,3.651953,4.19876947,4.121696683,4.05952853,3.58447729,3.70333498,3.782446933,2.82574579,3.22647448,3.29157461,3.114598293
Spain,ESP,-,7.44459252,7.46292642,7.33387575,7.41379823,7.21475551,7.24157367,7.25041069,7.235579957,8.11898424,8.23258934,8.35762244,8.236398673
Estonia,EST,-,6.31814012,6.57390761,6.1883056,6.360117777,5.2816118,4.85382046,4.8440834,4.993171887,5.01934025,5.01483256,5.15908483,5.064419213
Ethiopia,ETH,-,2.95660882,2.9185687,3.200776,3.02531784,4.36421528,4.26258377,4.72945755,4.452085533,4.20170809,4.46674967,4.69032041,4.452926057
European Union,EUU,-,8.319097942,8.44020853,8.341673129,8.3669932,8.403691797,8.589984214,8.816179396,8.603285136,9.232658197,9.18106488,9.095560235,9.169761104
Fragile and conflict affected situations,FCS,-,,,,0,4.94036726,5.363345115,5.520272451,5.274661609,4.672456401,4.432634554,4.654728394,4.58660645
Finland,FIN,-,7.84986061,8.03312617,7.71484885,7.86594521,7.21904777,7.42501005,7.80782855,7.483962123,8.42946509,8.38132513,8.09335361,8.301381277
Fiji,FJI,-,3.11363329,3.27231193,3.53182738,3.3059242,3.86874867,3.28148396,3.48156111,3.543931247,3.60776119,3.83604195,3.74015968,3.727987607
France,FRA,-,10.11255569,10.10873665,9.97504961,10.06544732,9.77454768,9.88690294,10.22030799,9.960586203,10.59988615,10.52922033,10.44898821,10.52603156
Faroe Islands,FRO,-,,,,0,,,,0,,,,0
"Micronesia, Fed. Sts.",FSM,-,9.15697583,8.62468548,7.7805233,8.520728203,7.88173023,8.5835092,8.01953064,8.161590023,12.112,11.92411067,11.99023438,12.00878168
Gabon,GAB,-,3.48304784,3.39675368,3.00630403,3.295368517,2.88920101,3.2299484,3.21867604,3.112608483,2.75520343,2.88201626,2.8583196,2.83184643
United Kingdom,GBR,-,6.69419941,6.7213642,6.49146782,6.635677143,6.9408116,7.31085769,7.56801541,7.273228233,8.23536912,8.36326097,8.41613855,8.338256213
Georgia,GEO,-,5.12490374,7.49096865,7.98980819,6.868560193,6.939338,7.81612364,8.72331141,7.826257683,8.59882617,8.39422247,8.16731799,8.386788877
Ghana,GHA,-,3.08622897,3.44504879,2.9955213,3.175599687,2.99813339,3.55887452,3.07302943,3.210012447,4.50784786,4.63638188,5.30044343,4.814891057
Guinea,GIN,-,3.53123668,3.12920666,3.05302562,3.237822987,3.45616834,3.65332963,3.76254133,3.6240131,2.82148862,3.02029095,3.07812234,2.973300637
Gambia,GMB,-,3.2577568,3.36690123,3.1146135,3.246423843,3.61338256,3.70840054,3.75098777,3.690923623,4.96685998,5.52277969,5.76134541,5.416995027
Guinea-Bissau,GNB,-,6.4319112,6.95065512,6.71958778,6.700718033,4.93580872,5.03895833,5.83796501,5.270910687,5.71621565,5.8746927,6.1035278,5.898145383
Equatorial Guinea,GNQ,-,5.38183325,4.44083118,3.18420482,4.335623083,2.73288105,1.78308363,2.05102618,2.188996953,1.63062912,2.12883668,2.24801409,2.002493297
Greece,GRC,-,8.26531533,8.16894191,8.00961014,8.147955793,7.60226921,8.47012165,8.71768644,8.2633591,9.36146591,9.33528442,9.4084693,9.368406543
Grenada,GRD,-,6.90686327,6.9529011,7.25414774,7.037970703,6.62466978,7.66909007,6.67353847,6.98909944,5.50415611,5.99301739,5.87601597,5.791063157
Greenland,GRL,-,,,,0,,,,0,,,,0
Guatemala,GTM,-,3.91897722,3.8555659,4.02383664,3.932793253,5.25181948,6.75862604,6.70663788,6.2390278,6.78948738,7.07207735,6.85595784,6.905840857
Guam,GUM,-,,,,0,,,,0,,,,0
Guyana,GUY,-,5.06613057,4.94599721,5.14500276,5.052376847,5.847442,5.82490165,5.83507299,5.835805547,5.82749382,4.66920858,6.45346258,5.650054993
High income,HIC,-,9.156313071,9.264899566,9.397191359,9.272801332,9.799377925,10.27863555,10.70200646,10.26000665,10.81886809,10.81062328,10.76065982,10.79671706
"Hong Kong SAR, China",HKG,-,,,,0,,,,0,,,,0
Honduras,HND,-,5.33817718,4.96237984,4.88425303,5.06160335,6.62617698,6.8768446,7.28280497,6.92860885,7.81458832,7.63244921,7.89426555,7.78043436
Heavily indebted poor countries (HIPC),HPC,-,4.482785824,4.723511713,4.637054023,4.61445052,4.466044797,4.806379391,4.9884597,4.753627963,5.298480519,5.50077765,5.394791084,5.398016418
Croatia,HRV,-,6.74396895,7.00520024,5.7929835,6.514050897,7.66469802,7.16206455,6.19018539,7.00564932,6.89409977,6.95312104,7.44334788,7.09685623
Haiti,HTI,-,6.60463061,6.44642627,6.20127766,6.417444847,6.05826244,5.63127188,5.46628153,5.718605283,4.40741512,5.69978142,5.55702995,5.22140883
Hungary,HUN,-,7.22453408,6.99431478,6.74276817,6.987205677,7.0575793,7.11497045,7.46547035,7.212673367,8.27979357,8.09995208,7.50953251,7.96309272
Indonesia,IDN,-,1.95621435,1.98662541,1.92529768,1.956045813,1.9783324,2.23198234,2.26862572,2.15964682,2.78958066,2.90514781,3.09844209,2.931056853
Isle of Man,IMN,-,,,,0,,,,0,,,,0
India,IND,-,4.01863098,3.89701725,4.24807061,4.054572947,4.26375646,4.49651024,4.40107258,4.387113093,4.28217471,4.24668128,4.22653116,4.251795717
Not classified,INX,-,,,,0,,,,0,,,,0
Ireland,IRL,-,6.43922051,6.34936457,6.19744462,6.328676567,6.02806576,6.59839384,6.85271589,6.493058497,7.26683559,7.22353538,7.57001772,7.353462897
Iran (Islamic Republic of),IRN,-,3.74488392,3.6397587,4.00157739,3.79540667,4.47453766,5.02339127,5.38928283,4.96240392,6.06355948,5.94523503,5.84412037,5.950971627
Iraq,IRQ,-,,2.83343729,2.15324808,1.662228457,0.80000513,1.13192706,1.35773332,1.09655517,4.13339428,2.99905461,3.69178171,3.608076867
Iceland,ISL,-,8.20549191,8.16477234,7.91258044,8.094281563,9.2750212,9.12238316,9.85538991,9.41759809,9.20976024,8.96470691,8.75292103,8.97579606
Israel,ISR,-,7.34555433,7.40078592,7.56044971,7.435596653,7.12928401,7.61027457,7.49158352,7.4103807,7.43511313,7.37962269,7.36888637,7.39454073
Italy,ITA,-,7.0951993,7.19380887,7.47161217,7.253540113,7.91371676,8.11320938,8.22996699,8.085631043,8.70707069,8.81849072,8.48168567,8.66908236
Jamaica,JAM,-,4.16409664,4.72996836,5.97090539,4.95499013,5.80932261,5.33784359,4.85575957,5.33430859,4.06830563,4.22114615,4.87190883,4.387120203
Jordan,JOR,-,8.4680132,8.90916941,8.96952793,8.782236847,9.65470363,9.90197276,9.68129541,9.7459906,8.88253327,8.08490328,8.34550992,8.437648823
Japan,JPN,-,6.6226014,6.49028939,6.72554817,6.612812987,7.53324651,7.74668514,7.84847852,7.709470057,8.18154267,8.19413457,8.24853451,8.208070583
Kazakhstan,KAZ,-,4.61783479,4.34318179,4.67251837,4.54451165,4.16032948,3.47096531,3.61480665,3.74870048,4.06951322,3.72656036,3.18543508,3.660502887
Kenya,KEN,-,4.2546112,4.14837559,4.1175352,4.17350733,4.68273816,4.62224717,4.53836443,4.61444992,4.36354595,4.24362134,4.07795506,4.228374117
Kyrgyzstan,KGZ,-,5.97060065,5.69307187,5.23371462,5.63246238,4.6771627,4.78581,5.43420861,4.965727103,5.82230709,6.73429073,6.87338793,6.476661917
Cambodia,KHM,-,5.38707902,7.42653701,6.46012542,6.424580483,5.86525812,5.70229312,5.94573973,5.837763657,5.84121965,4.271573,3.49641816,4.536403603
Kiribati,KIR,-,9.39105096,9.20390344,9.3572622,9.317405533,8.12191984,9.00297707,9.10312141,8.742672773,10.05853597,10.92704338,13.65860476,11.54806137
Saint Kitts and Nevis,KNA,-,5.85433464,6.06104992,5.64910189,5.854828817,5.31565597,4.97210133,4.85158469,5.04644733,4.80077315,5.45901566,5.29182061,5.183869807
Republic of Korea,KOR,-,3.67276956,3.87615854,3.86772523,3.80555111,4.22599348,4.75962664,4.61261035,4.53274349,5.32851591,5.75710863,5.98674394,5.690789493
Kosovo,KSV,-,,,,0,,,,0,,,,0
Kuwait,KWT,-,3.72426299,3.46528433,3.69448252,3.628009947,2.50942071,3.60960453,3.56384791,3.227624383,2.37794798,2.25224274,2.13286507,2.25435193
Latin America & Caribbean (developing only),LAC,-,5.951719521,6.037905915,6.067564186,6.019063207,5.954872393,6.110847749,6.129903346,6.065207829,6.9408058,6.935677795,7.070895667,6.982459754
Lao People's Democratic Republic,LAO,-,3.77081641,3.66814697,4.60735372,4.015439033,3.4118284,4.31878741,4.04067662,3.923764143,4.31668409,4.14334297,4.14439212,4.20147306
Lebanon,LBN,-,12.56417697,13.43730633,13.06278796,13.02142375,10.86159292,10.90442335,10.04646111,10.60415913,8.41980531,8.83001398,8.9037559,8.717858397
Liberia,LBR,-,,,,0,5.91313981,6.40765167,5.42610813,5.915633203,8.0358831,10.90408771,10.23524323,9.725071347
Libyan Arab Jamahiriya,LBY,-,3.27753681,3.35009282,3.45644575,3.36135846,3.40765496,4.05766524,4.56836292,4.011227707,2.70538066,2.5091272,2.62642263,2.613643497
Saint Lucia,LCA,-,6.08686468,7.06552219,6.39578175,6.516056207,5.52822822,6.09831345,6.32567716,5.984072943,6.24652588,6.37266722,6.8131974,6.4774635
Latin America & Caribbean (all income levels),LCN,-,6.294250933,6.292744944,6.302867947,6.296621275,6.346019829,6.486293338,6.193992853,6.342102007,6.814395659,6.770256158,6.872574771,6.819075529
Least developed countries: UN classification,LDC,-,4.178332901,4.004640572,3.845308054,4.009427176,3.644535166,4.048776376,4.178828093,3.957379878,4.468621001,4.762749005,4.460891987,4.564087331
Low income,LIC,-,4.542195319,4.615336992,4.612476572,4.590002961,4.447757851,4.983046145,5.316681262,4.915828419,5.679128357,5.97389523,5.525965777,5.726329788
Liechtenstein,LIE,-,,,,0,,,,0,,,,0
Sri Lanka,LKA,-,3.44024607,3.4601004,3.3443674,3.414904623,3.77494054,3.80731091,3.88774826,3.823333237,4.06081747,4.06216396,3.75875181,3.960577747
