Country name,1990-92,1995-97,2000-02,2006-08
Albania,2560,2850,2850,2890
Algeria,2890,2880,2990,3090
Angola,1580,1660,1790,1960
Antigua and Barbuda,2510,2180,2110,2330
Argentina,3010,3160,3140,3030
Armenia,1920,2030,2140,2260
Australia,3130,3080,3050,3220
Austria,3540,3610,3790,3800
Azerbaijan,2160,2170,2510,3020
Bahamas,2610,2560,2700,2710
Bangladesh,1960,1930,2170,2270
Barbados,3040,3010,3050,3020
Belarus,3180,3240,3000,3150
Belgium,3590,3620,3720,3690
Belize,2510,2500,2610,2710
Benin,2250,2320,2410,2510
Bermuda,2870,2860,2610,2650
Bolivia (Plurinational State of),2030,2100,2160,2100
Bosnia and Herzegovina,2670,2880,2820,3080
Botswana,2260,2220,2180,2230
Brazil,2760,2840,2910,3120
Brunei Darussalam,2730,2850,2910,2980
Bulgaria,3070,2770,2790,2760
Burkina Faso,2460,2530,2530,2690
Burundi,1860,1710,1680,1680
Cambodia,1870,1850,2070,2180
Cameroon,2020,2020,2160,2240
Canada,3050,3280,3520,3530
Cape Verde,2370,2360,2350,2530
Central African Republic,1880,1850,1910,1960
Chad,1700,1790,1940,2010
Chile,2600,2740,2840,2960
China,2580,2840,2920,2990
Colombia,2410,2580,2650,2690
Comoros,1900,1810,1750,1840
Congo,1970,1980,2370,2570
Costa Rica,2820,2750,2820,2820
C“te d'Ivoire,2470,2430,2440,2500
Croatia,2420,2540,2670,2990
Cuba,2720,2450,3110,3420
Cyprus,3120,3230,3200,3190
Czech Republic,3080,3250,3160,3280
Democratic People's Republic of Korea,2340,2160,2120,2110
Denmark,3220,3340,3370,3410
Djibouti,1720,1860,2030,2300
Dominica,3000,2980,3090,3090
Dominican Republic,2160,2200,2240,2270
Ecuador,2110,2250,2240,2300
Egypt,3090,3210,3230,3160
El Salvador,2400,2430,2630,2580
Eritrea,1530,1570,1520,1590
Estonia,2750,2990,3040,3140
Ethiopia,1550,1650,1840,1950
Fiji,2640,2770,2930,3000
Finland,3150,3060,3160,3220
France,3530,3530,3640,3530
French Polynesia,2480,2700,2850,2880
Gabon,2520,2600,2660,2710
Gambia,2470,2240,2280,2330
Georgia,1850,2320,2500,2730
Germany,3390,3350,3480,3540
Ghana,2120,2480,2630,2900
Greece,3560,3510,3660,3710
Grenada,2470,2390,2300,2400
Guatemala,2290,2170,2140,2150
Guinea,2420,2440,2440,2550
