Country name,1990-92,1995-97,2000-02,2005-07
Albania,68,83,83,92
Algeria,72,68,70,67
Angola,41,36,39,46
Antigua and Barbuda,101,75,74,83
Argentina,106,113,110,108
Armenia,36,41,44,59
Australia,129,125,133,143
Austria,159,162,165,163
Azerbaijan,37,39,42,52
Bahamas,87,78,93,91
Bangladesh,18,21,25,29
Barbados,105,105,95,97
Belarus,97,98,101,110
Belgium,0,0,164,164
Belize,67,67,64,69
Benin,41,40,52,53
Bermuda,122,108,108,112
Bolivia (Plurinational State of),41,47,46,42
Bosnia and Herzegovina,42,52,63,73
Botswana,60,55,50,54
Brazil,80,83,100,105
Brunei Darussalam,71,74,76,82
Bulgaria,100,89,93,99
Burkina Faso,49,53,57,58
Burundi,14,12,11,13
Cambodia,22,26,29,36
Cameroon,41,39,45,45
Canada,130,138,146,145
Cape Verde,72,78,69,75
Central African Republic,59,57,61,64
Chad,45,55,60,54
Chile,67,79,84,90
China,58,72,82,90
Colombia,59,68,70,72
Comoros,45,43,41,45
Congo,48,47,60,64
Costa Rica,74,77,78,85
Côte d'Ivoire,46,46,50,49
Croatia,67,71,83,107
Cuba,71,43,52,62
Cyprus,122,130,132,144
Czech Republic,109,110,113,134
Democratic People's Republic of Korea,44,34,35,36
Denmark,134,134,135,136
Djibouti,38,53,58,68
Dominica,84,81,87,83
Dominican Republic,63,70,76,75
Ecuador,74,79,80,89
Egypt,54,54,54,53
El Salvador,52,50,61,63
Eritrea,23,20,27,27
Estonia,88,92,93,90
Ethiopia,17,17,18,21
Fiji,100,100,98,99
Finland,126,127,126,129
France,163,164,171,164
French Polynesia,100,106,118,125
Gabon,49,50,56,58
Gambia,60,61,71,70
Georgia,35,41,56,68
Germany,145,146,143,143
Ghana,36,35,39,48
Greece,142,146,143,150
Grenada,81,83,82,91
Guatemala,42,43,49,55
Guinea,47,52,54,61
Guinea-Bissau,58,55,51,53
Guyana,34,49,59,63
Haiti,29,32,41,35
Honduras,57,63,69,68
Hungary,148,134,142,148
Iceland,121,117,132,144
India,40,45,45,48
Indonesia,44,46,46,51
Iran (Islamic Republic of),63,64,62,67
Ireland,134,132,136,131
Israel,118,123,133,146
Italy,149,148,158,158
Jamaica,64,75,83,88
Japan,83,88,89,90
Jordan,74,76,84,89
Kazakhstan,80,70,78,100
Kenya,46,47,46,47
Kiribati,94,99,100,99
Kuwait,76,97,101,100
Kyrgyzstan,56,52,50,58
Lao People's Democratic Republic,22,25,27,32
Latvia,93,96,102,119
Lebanon,99,98,110,109
Lesotho,36,34,34,33
Liberia,54,64,55,57
Libyan Arab Jamahiriya,93,92,93,95
Lithuania,79,78,95,106
Luxembourg,0,0,157,161
Madagascar,33,31,27,30
Malawi,26,27,30,31
Malaysia,88,86,85,84
Maldives,46,51,62,69
Mali,50,45,50,54
Malta,112,113,111,115
Mauritania,65,67,71,77
Mauritius,75,82,85,86
Mexico,81,86,89,95
Mongolia,80,75,78,79
Morocco,57,59,60,62
Mozambique,37,40,38,38
Namibia,34,35,52,54
Nepal,35,35,37,40
Netherlands,136,141,142,136
Netherlands Antilles,81,96,87,80
New Caledonia,103,107,110,110
New Zealand,130,119,113,119
Nicaragua,42,44,49,58
Niger,33,38,45,48
Nigeria,55,58,61,67
Norway,135,135,140,140
Occupied Palestinian Territory,,52,60,55
Pakistan,56,63,63,67
Panama,68,70,67,64
Paraguay,71,81,92,92
Peru,43,47,45,41
Philippines,42,45,49,49
Poland,112,110,114,114
Portugal,121,127,137,139
Republic of Korea,60,68,77,86
Republic of Moldova,58,51,49,64
Romania,95,87,96,109
Russian Federation,83,79,80,92
Rwanda,16,16,17,20
Saint Kitts and Nevis,84,82,79,79
Saint Lucia,63,74,79,86
Saint Vincent and the Grenadines,72,65,70,78
Samoa,115,114,129,139
Sao Tome and Principe,71,59,68,74
Saudi Arabia,82,76,87,87
Senegal,58,62,63,65
Serbia and Montenegro,114,122,115,118
Seychelles,54,69,74,70
Sierra Leone,56,60,47,56
Slovakia,104,102,101,110
Slovenia,103,105,113,121
Solomon Islands,46,51,46,49
South Africa,67,70,75,81
Spain,145,146,152,151
Sri Lanka,42,43,44,47
Sudan,54,62,68,65
Suriname,48,55,60,64
Swaziland,47,42,45,54
Sweden,123,129,124,123
Switzerland,152,148,151,154
Syrian Arab Republic,85,99,102,103
Tajikistan,53,50,46,61
Thailand,45,49,51,56
The former Yugoslav Republic of Macedonia,66,70,89,114
Timor-Leste,34,34,37,39
Togo,39,43,44,47
Trinidad and Tobago,70,71,75,76
Tunisia,83,86,93,90
Turkey,89,94,93,103
Turkmenistan,74,74,66,69
Uganda,36,38,33,43
Ukraine,79,73,76,92
United Arab Emirates,108,102,86,84
United Kingdom,139,140,140,145
United Republic of Tanzania,32,29,31,34
United States of America,140,138,155,161
Uruguay,92,93,87,77
Uzbekistan,75,73,65,69
Vanuatu,98,93,92,93
Venezuela (Bolivarian Republic of),70,66,70,74
Viet Nam,28,35,44,59
Yemen,39,35,40,46
Zambia,32,29,33,35
Zimbabwe,48,48,54,58
