Country Code,Country name,1990-92,1995-97,2000-02,2005-07
238,Albania,80,94,96,99
3,Algeria,78,78,81,86
66,Angola,34,36,40,43
67,Antigua and Barbuda,83,75,70,82
17,Argentina,95,100,99,94
48,Armenia,58,58,64,70
49,Australia,106,105,102,106
68,Austria,103,106,111,107
70,Azerbaijan,64,63,72,86
74,Bahamas,78,79,91,84
75,Bangladesh,42,42,47,49
19,Barbados,90,86,90,95
73,Belarus,97,96,87,89
50,Belgium,0,0,98,97
79,Belize,63,62,71,72
7,Benin,53,54,57,59
81,Bermuda,99,93,84,76
84,Bolivia (Plurinational State of),53,55,57,56
86,Bosnia and Herzegovina,80,85,79,88
89,Botswana,69,69,68,64
80,Brazil,68,77,80,84
90,Brunei Darussalam,78,89,88,87
167,Bulgaria,91,84,84,77
175,Burkina Faso,75,77,77,80
8,Burundi,58,51,46,45
39,Cambodia,44,42,53,57
91,Cameroon,48,49,56,58
93,Canada,96,99,106,105
95,Cape Verde,61,59,62,68
97,Central African Republic,41,42,45,46
99,Chad,51,53,61,62
20,Chile,72,78,80,88
100,China,67,81,86,89
101,Colombia,56,64,65,65
102,Comoros,44,42,42,44
9,Congo,45,40,47,53
104,Costa Rica,68,70,72,74
105,Côte d'Ivoire,53,48,48,50
116,Croatia,61,64,71,79
21,Cuba,62,55,71,80
106,Cyprus,97,101,103,96
109,Czech Republic,92,94,91,96
110,Democratic People's Republic of Korea,73,60,61,58
112,Denmark,100,104,107,111
108,Djibouti,41,41,47,58
114,Dominica,78,87,93,93
83,Dominican Republic,47,48,49,52
26,Ecuador,47,55,55,57
118,Egypt,82,88,90,91
113,El Salvador,59,61,68,71
1,Eritrea,49,50,48,47
54,Estonia,97,95,89,91
120,Ethiopia,44,47,52,56
119,Fiji,69,71,75,79
121,Finland,98,99,102,107
72,France,117,115,119,113
46,French Polynesia,79,89,96,100
122,Gabon,72,75,75,81
10,Gambia,54,49,53,55
123,Georgia,56,69,72,77
124,Germany,97,94,99,99
126,Ghana,47,52,54,59
256,Greece,112,113,117,118
129,Grenada,68,65,65,74
27,Guatemala,59,58,57,57
130,Guinea,54,53,53,54
11,Guinea-Bissau,46,44,44,44
131,Guyana,60,71,77,75
132,Haiti,42,41,41,41
233,Honduras,55,60,62,67
133,Hungary,97,84,91,89
134,Iceland,114,114,124,133
35,India,56,56,55,56
136,Indonesia,50,56,54,56
137,Iran (Islamic Republic of),79,81,83,84
55,Ireland,114,110,117,110
138,Israel,113,114,122,126
56,Italy,111,109,115,112
141,Jamaica,62,72,73,78
143,Japan,96,96,95,92
144,Jordan,76,71,71,76
107,Kazakhstan,100,98,81,104
147,Kenya,55,59,57,58
149,Kiribati,65,69,70,74
150,Kuwait,72,94,86,93
